sic4,description,activity,product,product_group
0111,"Growing of cereals (except rice), leguminous crops and oil seeds",Growing of,cereals,20
0112,Growing of rice,Growing of,rice,20
0113,"Growing of vegetables and melons, roots and tubers",Growing of,"vegetables and melons, roots and tubers",65
0114,Growing of sugar cane,Growing of,sugar cane,46
0115,Growing of tobacco,Growing of,tobacco,24
0116,Growing of fibre crops,Growing of,fibre crops,60
0119,Growing of other non-perennial crops,Growing of,nonperennial crops,20
0121,Growing of grapes,Growing of,grapes,38
0122,Growing of tropical and subtropical fruits,Growing of,tropical and subtropical fruits,38
0123,Growing of citrus fruits,Growing of,citrus fruits,38
0124,Growing of pome fruits and stone fruits,Growing of,pome fruits and stone fruits,34
0125,Growing of other tree and bush fruits and nuts,Growing of,tree and bush fruits and nuts,38
0126,Growing of oleaginous fruits,Growing of,oleaginous fruits,38
0127,Growing of beverage crops,Growing of,beverage crops,67
0128,"Growing of spices, aromatic, drug and pharmaceutical crops",Growing of,"spices, aromatic, drug and pharmaceutical crops",64
0129,Growing of other perennial crops,Growing of,perennial crops,65
0130,Plant propagation,Activities,plant propagation,20
0141,Raising of dairy cattle,Raising of,dairy cattle,0
0142,Raising of other cattle and buffaloes,Raising of,cattle and buffaloes,0
0143,Raising of horses and other equines,Raising of,horses and  equines,14
0144,Raising of camels and camelids,Raising of,camels and camelids,0
0145,Raising of sheep and goats,Raising of,sheep and goats,0
0146,Raising of swine/pigs,Raising of,swine pigs,12
0147,Raising of poultry,Raising of,poultry,30
0149,Raising of other animals,Raising of,animals,12
0150,Mixed farming,Activities,mixed farming,20
0161,Support activities for crop production,Support activities,for crop production,20
0162,Support activities for animal production,Support activities,for animal production,12
0163,Post-harvest crop activities,Activities,postharvest crop,20
0164,Seed processing for propagation,Activities,seed processing for propagation,20
0170,"Hunting, trapping and related service activities",Service activities,"hunting, trapping and related",11
0210,Silviculture and other forestry activities,Activities,silviculture and  forestry,21
0220,Logging,Activities,logging,21
0230,Gathering of wild growing non-wood products,Gathering of,wild growing nonwood products,20
0240,Support services to forestry,Support services,to forestry,21
0311,Marine fishing,Activities,marine fishing,23
0312,Freshwater fishing,Activities,freshwater fishing,23
0321,Marine aquaculture,Activities,marine aquaculture,23
0322,Freshwater aquaculture,Activities,freshwater aquaculture,23
0510,Mining of hard coal,Mining of,hard coal,10
0520,Mining of lignite,Mining of,lignite,34
0610,Extraction of crude petroleum,Extraction of,crude petroleum,10
0620,Extraction of natural gas,Extraction of,natural gas,10
0710,Mining of iron ores,Mining of,iron ores,3
0721,Mining of uranium and thorium ores,Mining of,uranium and thorium ores,3
0729,Mining of other non-ferrous metal ores,Mining of,nonferrous metal ores,66
0811,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",Quarrying of,"ornamental and building stone, limestone, gypsum, chalk and slate",34
0812,Operation of gravel and sand pits; mining of clays and kaolin,Operation of,gravel and sand pits; mining of clays and kaolin,34
0891,Mining of chemical and fertiliser minerals,Mining of,chemical and fertiliser minerals,17
0892,Extraction of peat,Extraction of,peat,18
0893,Extraction of salt,Extraction of,salt,34
0899,Other mining and quarrying n.e.c.,Activities,mining and quarrying,42
0910,Support activities for petroleum and natural gas extraction,Support activities,for petroleum and natural gas extraction,10
0990,Support activities for other mining and quarrying,Support activities,for  mining and quarrying,42
1011,Processing and preserving of meat,Processing and preserving of,meat,30
1012,Processing and preserving of poultry meat,Processing and preserving of,poultry meat,30
1013,Production of meat and poultry meat products,Production of,meat and poultry meat products,30
1020,"Processing and preserving of fish, crustaceans and molluscs",Processing and preserving of,"fish, crustaceans and molluscs",23
1031,Processing and preserving of potatoes,Processing and preserving of,potatoes,18
1032,Manufacture of fruit and vegetable juice,Manufacture of,fruit and vegetable juice,38
1039,Other processing and preserving of fruit and vegetables,Processing of,processing and preserving of fruit and vegetables,65
1041,Manufacture of oils and fats,Manufacture of,oils and fats,0
1042,Manufacture of margarine and similar edible fats,Manufacture of,margarine and similar edible fats,13
1051,Operation of dairies and cheese making,Operation of,dairies and cheese making,0
1052,Manufacture of ice cream,Manufacture of,ice cream,46
1061,Manufacture of grain mill products,Manufacture of,grain mill products,20
1062,Manufacture of starches and starch products,Manufacture of,starches and starch products,13
1071,Manufacture of bread; manufacture of fresh pastry goods and cakes,Manufacture of,bread;  fresh pastry goods and cakes,13
1072,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Manufacture of,rusks and biscuits;  preserved pastry goods and cakes,13
1073,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",Manufacture of,"macaroni, noodles, couscous and similar farinaceous products",31
1081,Manufacture of sugar,Manufacture of,sugar,46
1082,"Manufacture of cocoa, chocolate and sugar confectionery",Manufacture of,"cocoa, chocolate and sugar confectionery",46
1083,Processing of tea and coffee,Processing of,tea and coffee,81
1084,Manufacture of condiments and seasonings,Manufacture of,condiments and seasonings,31
1085,Manufacture of prepared meals and dishes,Manufacture of,prepared meals and dishes,31
1086,Manufacture of homogenised food preparations and dietetic food,Manufacture of,homogenised food preparations and dietetic food,31
1089,Manufacture of other food products n.e.c.,Manufacture of,food products,31
1091,Manufacture of prepared feeds for farm animals,Manufacture of,prepared feeds for farm animals,12
1092,Manufacture of prepared pet foods,Manufacture of,prepared pet foods,12
1101,"Distilling, rectifying and blending of spirits","Distilling, rectifying and blending of",spirits,33
1102,Manufacture of wine from grape,Manufacture of,wine from grape,38
1103,Manufacture of cider and other fruit wines,Manufacture of,cider and  fruit wines,38
1104,Manufacture of other non-distilled fermented beverages,Manufacture of,nondistilled fermented beverages,79
1105,Manufacture of beer,Manufacture of,beer,67
1106,Manufacture of malt,Manufacture of,malt,67
1107,Manufacture of soft drinks; production of mineral waters and other bottled waters,Manufacture of,soft drinks; production of mineral waters and  bottled waters,81
1200,Manufacture of tobacco products,Manufacture of,tobacco products,24
1310,Preparation and spinning of textile fibres,Preparation and spinning of,textile fibres,45
1320,Weaving of textiles,Weaving of,textiles,45
1330,Finishing of textiles,Finishing of,textiles,45
1391,Manufacture of knitted and crocheted fabrics,Manufacture of,knitted and crocheted fabrics,51
1392,"Manufacture of made-up textile articles, except apparel",Manufacture of,"madeup textile articles,",45
1393,Manufacture of carpets and rugs,Manufacture of,carpets and rugs,55
1394,"Manufacture of cordage, rope, twine and netting",Manufacture of,"cordage, rope, twine and netting",57
1395,"Manufacture of non-wovens and articles made from non-wovens, except apparel",Manufacture of,"nonwovens and articles made from nonwovens,",37
1396,Manufacture of other technical and industrial textiles,Manufacture of,technical and industrial textiles,45
1399,Manufacture of other textiles n.e.c.,Manufacture of,textiles,45
1411,Manufacture of leather clothes,Manufacture of,leather clothes,27
1412,Manufacture of workwear,Manufacture of,workwear,50
1413,Manufacture of other outerwear,Manufacture of,outerwear,6
1414,Manufacture of underwear,Manufacture of,underwear,50
1419,Manufacture of other wearing apparel and accessories,Manufacture of,wearing apparel and accessories,50
1420,Manufacture of articles of fur,Manufacture of,articles of fur,12
1431,Manufacture of knitted and crocheted hosiery,Manufacture of,knitted and crocheted hosiery,51
1439,Manufacture of other knitted and crocheted apparel,Manufacture of,knitted and crocheted apparel,51
1511,Tanning and dressing of leather; dressing and dyeing of fur,Tanning and dressing; dressing and dyeing,leather; fur,27
1512,"Manufacture of luggage, handbags and the like, saddlery and harness",Manufacture of,"luggage, handbags and the like, saddlery and harness",14
1520,Manufacture of footwear,Manufacture of,footwear,50
1610,Sawmilling and planing of wood,Sawmilling and planing,wood,83
1621,Manufacture of veneer sheets and wood-based panels,Manufacture of,veneer sheets and woodbased panels,83
1622,Manufacture of assembled parquet floors,Manufacture of,assembled parquet floors,7
1623,Manufacture of other builders' carpentry and joinery,Manufacture of,builders' carpentry and joinery,48
1624,Manufacture of wooden containers,Manufacture of,wooden containers,83
1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",Manufacture of,"products of wood;  articles of cork, straw and plaiting materials",83
1711,Manufacture of pulp,Manufacture of,pulp,16
1712,Manufacture of paper and paperboard,Manufacture of,paper and paperboard,39
1721,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Manufacture of,corrugated paper and paperboard and of containers of paper and paperboard,39
1722,Manufacture of household and sanitary goods and of toilet requisites,Manufacture of,household and sanitary goods and of toilet requisites,88
1723,Manufacture of paper stationery,Manufacture of,paper stationery,39
1724,Manufacture of wallpaper,Manufacture of,wallpaper,55
1729,Manufacture of other articles of paper and paperboard,Manufacture of,articles of paper and paperboard,39
1811,Printing of newspapers,Printing of,newspapers,39
1812,Other printing,Activities,printing,39
1813,Pre-press and pre-media services,Services,prepress and premedia,16
1814,Binding and related services,Services,binding and related,57
1820,Reproduction of recorded media,Reproduction of,recorded media,1
1910,Manufacture of coke oven products,Manufacture of,coke oven products,43
1920,Manufacture of refined petroleum products,Manufacture of,refined petroleum products,10
2011,Manufacture of industrial gases,Manufacture of,industrial gases,43
2012,Manufacture of dyes and pigments,Manufacture of,dyes and pigments,13
2013,Manufacture of other inorganic basic chemicals,Manufacture of,inorganic basic chemicals,36
2014,Manufacture of other organic basic chemicals,Manufacture of,organic basic chemicals,36
2015,Manufacture of fertilisers and nitrogen compounds,Manufacture of,fertilisers and nitrogen compounds,17
2016,Manufacture of plastics in primary forms,Manufacture of,plastics in primary forms,32
2017,Manufacture of synthetic rubber in primary forms,Manufacture of,synthetic rubber in primary forms,32
2020,Manufacture of pesticides and other agrochemical products,Manufacture of,pesticides and  agrochemical products,17
2030,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Manufacture of,"paints, varnishes and similar coatings, printing ink and mastics",13
2041,"Manufacture of soap and detergents, cleaning and polishing preparations",Manufacture of,"soap and detergents, cleaning and polishing preparations",77
2042,Manufacture of perfumes and toilet preparations,Manufacture of,perfumes and toilet preparations,88
2051,Manufacture of explosives,Manufacture of,explosives,80
2052,Manufacture of glues,Manufacture of,glues,16
2053,Manufacture of essential oils,Manufacture of,essential oils,0
2059,Manufacture of other chemical products n.e.c.,Manufacture of,chemical products,36
2060,Manufacture of man-made fibres,Manufacture of,manmade fibres,60
2110,Manufacture of basic pharmaceutical products,Manufacture of,basic pharmaceutical products,64
2120,Manufacture of pharmaceutical preparations,Manufacture of,pharmaceutical preparations,64
2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,Manufacture of,rubber tyres and tubes; retreading and rebuilding of rubber tyres,32
2219,Manufacture of other rubber products,Manufacture of,rubber products,32
2221,"Manufacture of plastic plates, sheets, tubes and profiles",Manufacture of,"plastic plates, sheets, tubes and profiles",32
2222,Manufacture of plastic packing goods,Manufacture of,plastic packing goods,32
2223,Manufacture of builders’ ware of plastic,Manufacture of,builders’ ware of plastic,32
2229,Manufacture of other plastic products,Manufacture of,plastic products,32
2311,Manufacture of flat glass,Manufacture of,flat glass,75
2312,Shaping and processing of flat glass,Shaping and processing of,flat glass,75
2313,Manufacture of hollow glass,Manufacture of,hollow glass,75
2314,Manufacture of glass fibres,Manufacture of,glass fibres,60
2319,"Manufacture and processing of other glass, including technical glassware",Manufacture and processing of,"glass, including technical glassware",1
2320,Manufacture of refractory products,Manufacture of,refractory products,13
2331,Manufacture of ceramic tiles and flags,Manufacture of,ceramic tiles and flags,44
2332,"Manufacture of bricks, tiles and construction products, in baked clay",Manufacture of,"bricks, tiles and construction products, in baked clay",34
2341,Manufacture of ceramic household and ornamental articles,Manufacture of,ceramic household and ornamental articles,44
2342,Manufacture of ceramic sanitary fixtures,Manufacture of,ceramic sanitary fixtures,44
2343,Manufacture of ceramic insulators and insulating fittings,Manufacture of,ceramic insulators and insulating fittings,44
2344,Manufacture of other technical ceramic products,Manufacture of,technical ceramic products,44
2349,Manufacture of other ceramic products,Manufacture of,ceramic products,44
2351,Manufacture of cement,Manufacture of,cement,76
2352,Manufacture of lime and plaster,Manufacture of,lime and plaster,34
2361,Manufacture of concrete products for construction purposes,Manufacture of,concrete products for construction purposes,76
2362,Manufacture of plaster products for construction purposes,Manufacture of,plaster products for construction purposes,76
2363,Manufacture of ready-mixed concrete,Manufacture of,readymixed concrete,76
2364,Manufacture of mortars,Manufacture of,mortars,34
2365,Manufacture of fibre cement,Manufacture of,fibre cement,60
2369,"Manufacture of other articles of concrete, plaster and cement",Manufacture of,"articles of concrete, plaster and cement",76
2370,"Cutting, shaping and finishing of stone","Cutting, shopping and finishing of","cutting, shaping and finishing of stone",42
2391,Production of abrasive products,Production of,abrasive products,80
2399,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of,nonmetallic mineral products,66
2410,Manufacture of basic iron and steel and of ferro-alloys,Manufacture of,basic iron and steel and of ferroalloys,3
2420,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel",Manufacture of,"tubes, pipes, hollow profiles and related fittings, of steel",78
2431,Cold drawing of bars,Cold,drawing of bars,57
2432,Cold rolling of narrow strip,Cold,rolling of narrow strip,7
2433,Cold forming or folding,Cold,forming or folding,7
2434,Cold drawing of wire,Cold,drawing of wire,57
2441,Precious metals production,production,precious metals,3
2442,Aluminium production,production,aluminium,34
2443,"Lead, zinc and tin production",production,"lead, zinc and tin",3
2444,Copper production,production,copper,3
2445,Other non-ferrous metal production,production,nonferrous metal,66
2446,Processing of nuclear fuel,Processing of,nuclear fuel,10
2451,Casting of iron,Casting of,iron,3
2452,Casting of steel,Casting of,steel,3
2453,Casting of light metals,Casting of,light metals,7
2454,Casting of other non-ferrous metals,Casting of,nonferrous metals,66
2511,Manufacture of metal structures and parts of structures,Manufacture of,metal structures and parts of structures,3
2512,Manufacture of doors and windows of metal,Manufacture of,doors and windows of metal,78
2521,Manufacture of central heating radiators and boilers,Manufacture of,central heating radiators and boilers,43
2529,"Manufacture of other tanks, reservoirs and containers of metal",Manufacture of,"tanks, reservoirs and containers of metal",78
2530,"Manufacture of steam generators, except central heating hot water boilers",Manufacture of,"steam generators,",43
2540,Manufacture of weapons and ammunition,Manufacture of,weapons and ammunition,14
2550,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy","Forging, pressing, stamping and roll-forming of metal",; powder metallurgy,3
2561,Treatment and coating of metals,Treatment and coating of,metals,3
2562,Machining,Activities,machining,48
2571,Manufacture of cutlery,Manufacture of,cutlery,48
2572,Manufacture of locks and hinges,Manufacture of,locks and hinges,57
2573,Manufacture of tools,Manufacture of,tools,48
2591,Manufacture of steel drums and similar containers,Manufacture of,steel drums and similar containers,78
2592,Manufacture of light metal packaging,Manufacture of,light metal packaging,7
2593,"Manufacture of wire products, chain and springs",Manufacture of,"wire products, chain and springs",57
2594,Manufacture of fasteners and screw machine products,Manufacture of,fasteners and screw machine products,22
2599,Manufacture of other fabricated metal products n.e.c.,Manufacture of,fabricated metal products,3
2611,Manufacture of electronic components,Manufacture of,electronic components,22
2612,Manufacture of loaded electronic boards,Manufacture of,loaded electronic boards,7
2620,Manufacture of computers and peripheral equipment,Manufacture of,computers and peripheral equipment,25
2630,Manufacture of communication equipment,Manufacture of,communication equipment,53
2640,Manufacture of consumer electronics,Manufacture of,consumer electronics,84
2651,"Manufacture of instruments and appliances for measuring, testing and navigation",Manufacture of,"instruments and appliances for measuring, testing and navigation",22
2652,Manufacture of watches and clocks,Manufacture of,watches and clocks,29
2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",Manufacture of,"irradiation, electromedical and electrapeutic equipment",22
2670,Manufacture of optical instruments and photographic equipment,Manufacture of,optical instruments and photographic equipment,1
2680,Manufacture of magnetic and optical media,Manufacture of,magnetic and optical media,1
2711,"Manufacture of electric motors, generators and transformers",Manufacture of,"electric motors, generators and transformers",22
2712,Manufacture of electricity distribution and control apparatus,Manufacture of,electricity distribution and control apparatus,28
2720,Manufacture of batteries and accumulators,Manufacture of,batteries and accumulators,22
2731,Manufacture of fibre optic cables,Manufacture of,fibre optic cables,60
2732,Manufacture of other electronic and electric wires and cables,Manufacture of,electronic and electric wires and cables,22
2733,Manufacture of wiring devices,Manufacture of,wiring devices,22
2740,Manufacture of electric lighting equipment,Manufacture of,electric lighting equipment,28
2751,Manufacture of electric domestic appliances,Manufacture of,electric domestic appliances,70
2752,Manufacture of non-electric domestic appliances,Manufacture of,nonelectric domestic appliances,70
2790,Manufacture of other electrical equipment,Manufacture of,electrical equipment,28
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Manufacture of,"engines and turbines,",22
2812,Manufacture of fluid power equipment,Manufacture of,fluid power equipment,8
2813,Manufacture of other pumps and compressors,Manufacture of,pumps and compressors,8
2814,Manufacture of other taps and valves,Manufacture of,taps and valves,8
2815,"Manufacture of bearings, gears, gearing and driving elements",Manufacture of,"bearings, gears, gearing and driving elements",22
2821,"Manufacture of ovens, furnaces and furnace burners",Manufacture of,"ovens, furnaces and furnace burners",43
2822,Manufacture of lifting and handling equipment,Manufacture of,lifting and handling equipment,58
2823,Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of,fice machinery and equipment,52
2824,Manufacture of power-driven hand tools,Manufacture of,powerdriven hand tools,48
2825,Manufacture of non-domestic cooling and ventilation equipment,Manufacture of,nondomestic cooling and ventilation equipment,43
2829,Manufacture of other general-purpose machinery n.e.c.,Manufacture of,generalpurpose machinery,52
2830,Manufacture of agricultural and forestry machinery,Manufacture of,agricultural and forestry machinery,17
2841,Manufacture of metal forming machinery,Manufacture of,metal forming machinery,3
2849,Manufacture of other machine tools,Manufacture of,machine tools,48
2891,Manufacture of machinery for metallurgy,Manufacture of,machinery for metallurgy,3
2892,"Manufacture of machinery for mining, quarrying and construction",Manufacture of,"machinery for mining, quarrying and construction",42
2893,"Manufacture of machinery for food, beverage and tobacco processing",Manufacture of,"machinery for food, beverage and tobacco processing",24
2894,"Manufacture of machinery for textile, apparel and leather production",Manufacture of,"machinery for textile, apparel and leather production",45
2895,Manufacture of machinery for paper and paperboard production,Manufacture of,machinery for paper and paperboard production,39
2896,Manufacture of plastics and rubber machinery,Manufacture of,plastics and rubber machinery,32
2899,Manufacture of other special-purpose machinery n.e.c.,Manufacture of,specialpurpose machinery,52
2910,Manufacture of motor vehicles,Manufacture of,motor vehicles,15
2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Manufacture of,bodies coachwork for motor vehicles;  trailers and semitrailers,37
2931,Manufacture of electrical and electronic equipment for motor vehicles,Manufacture of,electrical and electronic equipment for motor vehicles,22
2932,Manufacture of other parts and accessories for motor vehicles,Manufacture of,parts and accessories for motor vehicles,49
3011,Building of ships and floating structures,Manufacture of,building of ships and floating structures,40
3012,Building of pleasure and sporting boats,Manufacture of,building of pleasure and sporting boats,40
3020,Manufacture of railway locomotives and rolling stock,Manufacture of,railway locomotives and rolling stock,14
3030,Manufacture of air and spacecraft and related machinery,Manufacture of,air and spacecraft and related machinery,61
3040,Manufacture of military fighting vehicles,Manufacture of,military fighting vehicles,15
3091,Manufacture of motorcycles,Manufacture of,motorcycles,14
3092,Manufacture of bicycles and invalid carriages,Manufacture of,bicycles and invalid carriages,14
3099,Manufacture of other transport equipment n.e.c.,Manufacture of,transport equipment,58
3101,Manufacture of office and shop furniture,Manufacture of,fice and shop furniture,74
3102,Manufacture of kitchen furniture,Manufacture of,kitchen furniture,74
3103,Manufacture of mattresses,Manufacture of,mattresses,55
3109,Manufacture of other furniture,Manufacture of,furniture,74
3211,Striking of coins,Striking of,coins,2
3212,Manufacture of jewellery and related articles,Manufacture of,jewellery and related articles,29
3213,Manufacture of imitation jewellery and related articles,Manufacture of,imitation jewellery and related articles,29
3220,Manufacture of musical instruments,Manufacture of,musical instruments,1
3230,Manufacture of sports goods,Manufacture of,sports goods,71
3240,Manufacture of games and toys,Manufacture of,games and toys,26
3250,Manufacture of medical and dental instruments and supplies,Manufacture of,medical and dental instruments and supplies,4
3291,Manufacture of brooms and brushes,Manufacture of,brooms and brushes,77
3299,Other manufacturing n.e.c.,Activities,manufacturing,52
3311,Repair of fabricated metal products,Repair of,fabricated metal products,3
3312,Repair of machinery,Repair of,machinery,52
3313,Repair of electronic and optical equipment,Repair of,electronic and optical equipment,1
3314,Repair of electrical equipment,Repair of,electrical equipment,28
3315,Repair and maintenance of ships and boats,Repair of,repair and maintenance of ships and boats,40
3316,Repair and maintenance of aircraft and spacecraft,Repair of,repair and maintenance of aircraft and spacecraft,40
3317,Repair and maintenance of other transport equipment,Repair of,repair and maintenance of  transport equipment,40
3319,Repair of other equipment,Repair of,equipment,52
3320,Installation of industrial machinery and equipment,Installation of,industrial machinery and equipment,52
3511,Production of electricity,Production of,electricity,28
3512,Transmission of electricity,Transmission of,electricity,28
3513,Distribution of electricity,Distribution of,electricity,28
3514,Trade of electricity,Trade of,electricity,28
3521,Manufacture of gas,Manufacture of,gas,10
3522,Distribution of gaseous fuels through mains,Distribution of,gaseous fuels through mains,10
3523,Trade of gas through mains,Trade of,gas through mains,10
3530,Steam and air conditioning supply,Activities,steam and air conditioning supply,43
3600,"Water collection, treatment and supply",Activities,"water collection, treatment and supply",8
3700,Sewerage,Activities,sewerage,8
3811,Collection of non-hazardous waste,Collection of,nonhazardous waste,19
3812,Collection of hazardous waste,Collection of,hazardous waste,19
3821,Treatment and disposal of non-hazardous waste,Treatment and disposal of,nonhazardous waste,19
3822,Treatment and disposal of hazardous waste,Treatment and disposal of,hazardous waste,19
3831,Dismantling of wrecks,Dismantling of,wrecks,80
3832,Recovery of sorted materials,Recovery of,sorted materials,7
3900,Remediation activities and other waste management services,Services,remediation activities and  waste management,19
4110,Development of building projects,Development of,building projects,59
4120,Construction of residential and non-residential buildings,Construction of,residential and nonresidential buildings,37
4211,Construction of roads and motorways,Construction of,roads and motorways,78
4212,Construction of railways and underground railways,Construction of,railways and underground railways,14
4213,Construction of bridges and tunnels,Construction of,bridges and tunnels,78
4221,Construction of utility projects for fluids,Construction of,utility projects for fluids,8
4222,Construction of utility projects for electricity and telecommunications,Construction of,utility projects for electricity and telecommunications,28
4291,Construction of water projects,Construction of,water projects,8
4299,Construction of other civil engineering projects n.e.c.,Construction of,civil engineering projects,40
4311,Demolition,Activities,demolition,80
4312,Site preparation,Activities,site preparation,42
4313,Test drilling and boring,Activities,test drilling and boring,42
4321,Electrical installation,Activities,electrical installation,28
4322,"Plumbing, heat and air-conditioning installation",Activities,"plumbing, heat and airconditioning installation",43
4329,Other construction installation,Activities,construction installation,59
4331,Plastering,Activities,plastering,76
4332,Joinery installation,Activities,joinery installation,48
4333,Floor and wall covering,Activities,floor and wall covering,55
4334,Painting and glazing,Activities,painting and glazing,13
4339,Other building completion and finishing,Activities,building completion and finishing,59
4391,Roofing activities,Activities,roofing,59
4399,Other specialised construction activities n.e.c.,Activities,specialised construction,18
