sic4,description,activity,product,product_group
4511,Sale of cars and light motor vehicles,Sale of,cars and light motor vehicles,15
4519,Sale of other motor vehicles,Sale of,motor vehicles,15
4520,Maintenance and repair of motor vehicles,Maintenance and repair of,motor vehicles,15
4531,Wholesale trade of motor vehicle parts and accessories,Wholesale trade of,motor vehicle parts and accessories,49
4532,Retail trade of motor vehicle parts and accessories,Retail trade of,motor vehicle parts and accessories,49
4540,"Sale, maintenance and repair of motorcycles and related parts and accessories","Sale, maintenance and repair of",motorcycles and related parts and accessories,49
4611,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",Agents involved in the sale of,"agricultural raw materials, live animals, textile raw materials and semifinished goods",12
4612,"Agents involved in the sale of fuels, ores, metals and industrial chemicals",Agents involved in the sale of,"fuels, ores, metals and industrial chemicals",10
4613,Agents involved in the sale of timber and building materials,Agents involved in the sale of,timber and building materials,83
4614,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft",Agents involved in the sale of,"machinery, industrial equipment, ships and aircraft",61
4615,"Agents involved in the sale of furniture, household goods, hardware and ironmongery",Agents involved in the sale of,"furniture, household goods, hardware and ironmongery",74
4616,"Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",Agents involved in the sale of,"textiles, clothing, fur, footwear and leather goods",27
4617,"Agents involved in the sale of food, beverages and tobacco",Agents involved in the sale of,"food, beverages and tobacco",24
4618,Agents specialised in the sale of other particular products,Agents involved in the sale of,agents specialised in the sale of  particular products,71
4619,Agents involved in the sale of a variety of goods,Agents involved in the sale of,a variety of goods,71
4621,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds",Wholesale of,"grain, unmanufactured tobacco, seeds and animal feeds",12
4622,Wholesale of flowers and plants,Wholesale of,flowers and plants,65
4623,Wholesale of live animals,Wholesale of,live animals,12
4624,"Wholesale of hides, skins and leather",Wholesale of,"hides, skins and leather",27
4631,Wholesale of fruit and vegetables,Wholesale of,fruit and vegetables,65
4632,Wholesale of meat and meat products,Wholesale of,meat and meat products,30
4633,"Wholesale of dairy products, eggs and edible oils and fats",Wholesale of,"dairy products, eggs and edible oils and fats",0
4634,Wholesale of beverages,Wholesale of,beverages,67
4635,Wholesale of tobacco products,Wholesale of,tobacco products,24
4636,Wholesale of sugar and chocolate and sugar confectionery,Wholesale of,sugar and chocolate and sugar confectionery,46
4637,"Wholesale of coffee, tea, cocoa and spices",Wholesale of,"coffee, tea, cocoa and spices",81
4638,"Wholesale of other food, including fish, crustaceans and molluscs",Wholesale of,"food, including fish, crustaceans and molluscs",23
4639,"Non-specialised wholesale of food, beverages and tobacco",Wholesale of,"nonspecialised  food, beverages and tobacco",79
4641,Wholesale of textiles,Wholesale of,textiles,45
4642,Wholesale of clothing and footwear,Wholesale of,clothing and footwear,50
4643,Wholesale of electrical household appliances,Wholesale of,electrical household appliances,70
4644,Wholesale of china and glassware and cleaning materials,Wholesale of,china and glassware and cleaning materials,77
4645,Wholesale of perfume and cosmetics,Wholesale of,perfume and cosmetics,13
4646,Wholesale of pharmaceutical goods,Wholesale of,pharmaceutical goods,64
4647,"Wholesale of furniture, carpets and lighting equipment",Wholesale of,"furniture, carpets and lighting equipment",74
4648,Wholesale of watches and jewellery,Wholesale of,watches and jewellery,29
4649,Wholesale of other household goods,Wholesale of,household goods,73
4651,"Wholesale of computers, computer peripheral equipment and software",Wholesale of,"computers, computer peripheral equipment and software",25
4652,Wholesale of electronic and telecommunications equipment and parts,Wholesale of,electronic and telecommunications equipment and parts,22
4661,"Wholesale of agricultural machinery, equipment and supplies",Wholesale of,"agricultural machinery, equipment and supplies",17
4662,Wholesale of machine tools,Wholesale of,machine tools,48
4663,"Wholesale of mining, construction and civil engineering machinery",Wholesale of,"mining, construction and civil engineering machinery",42
4664,Wholesale of machinery for the textile industry and of sewing and knitting machines,Wholesale of,machinery for the textile industry and of sewing and knitting machines,45
4665,Wholesale of office furniture,Wholesale of,fice furniture,74
4666,Wholesale of other office machinery and equipment,Wholesale of,office machinery and equipment,82
4669,Wholesale of other machinery and equipment,Wholesale of,machinery and equipment,52
4671,"Wholesale of solid, liquid and gaseous fuels and related products",Wholesale of,"solid, liquid and gaseous fuels and related products",10
4672,Wholesale of metals and metal ores,Wholesale of,metals and metal ores,3
4673,"Wholesale of wood, construction materials and sanitary equipment",Wholesale of,"wood, construction materials and sanitary equipment",4
4674,"Wholesale of hardware, plumbing and heating equipment and supplies",Wholesale of,"hardware, plumbing and heating equipment and supplies",43
4675,Wholesale of chemical products,Wholesale of,chemical products,36
4676,Wholesale of other intermediate products,Wholesale of,intermediate products,36
4677,Wholesale of waste and scrap,Wholesale of,waste and scrap,19
4690,Non-specialised wholesale trade,Wholesale,nonspecialised  trade,79
4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",Retail sale,"in nonspecialised stores with food, beverages or tobacco predominating",79
4719,Other retail sale in non-specialised stores,Retail sale,in nonspecialised stores,79
4721,Retail sale of fruit and vegetables in specialised stores,Retail sale; in specialised stores,fruit and vegetables,65
4722,Retail sale of meat and meat products in specialised stores,Retail sale; in specialised stores,meat and meat products,30
4723,"Retail sale of fish, crustaceans and molluscs in specialised stores",Retail sale; in specialised stores,"fish, crustaceans and molluscs",23
4724,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",Retail sale; in specialised stores,"bread, cakes, flour confectionery and sugar confectionery",46
4725,Retail sale of beverages in specialised stores,Retail sale; in specialised stores,beverages,67
4726,Retail sale of tobacco products in specialised stores,Retail sale; in specialised stores,tobacco products,24
4729,Other retail sale of food in specialised stores,Retail sale; in specialised stores,food,31
4730,Retail sale of automotive fuel in specialised stores,Retail sale; in specialised stores,automotive fuel,10
4741,"Retail sale of computers, peripheral units and software in specialised stores",Retail sale; in specialised stores,"computers, peripheral units and software",25
4742,Retail sale of telecommunications equipment in specialised stores,Retail sale; in specialised stores,telecommunications equipment,53
4743,Retail sale of audio and video equipment in specialised stores,Retail sale; in specialised stores,audio and video equipment,1
4751,Retail sale of textiles in specialised stores,Retail sale; in specialised stores,textiles,45
4752,"Retail sale of hardware, paints and glass in specialised stores",Retail sale; in specialised stores,"hardware, paints and glass",1
4753,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",Retail sale; in specialised stores,"carpets, rugs, wall and floor coverings",55
4754,Retail sale of electrical household appliances in specialised stores,Retail sale; in specialised stores,electrical household appliances,70
4759,"Retail sale of furniture, lighting equipment and other household articles in specialised stores",Retail sale; in specialised stores,"furniture, lighting equipment and  household articles",74
4761,Retail sale of books in specialised stores,Retail sale; in specialised stores,books,16
4762,Retail sale of newspapers and stationery in specialised stores,Retail sale; in specialised stores,newspapers and stationery,39
4763,Retail sale of music and video recordings in specialised stores,Retail sale; in specialised stores,music and video recordings,1
4764,Retail sale of sporting equipment in specialised stores,Retail sale; in specialised stores,sporting equipment,69
4765,Retail sale of games and toys in specialised stores,Retail sale; in specialised stores,games and toys,26
4771,Retail sale of clothing in specialised stores,Retail sale; in specialised stores,clothing,50
4772,Retail sale of footwear and leather goods in specialised stores,Retail sale; in specialised stores,footwear and leather goods,27
4773,Dispensing chemist in specialised stores,Retail sale; in specialised stores,dispensing chemist,36
4774,Retail sale of medical and orthopaedic goods in specialised stores,Retail sale; in specialised stores,medical and orthopaedic goods,4
4775,Retail sale of cosmetic and toilet articles in specialised stores,Retail sale; in specialised stores,cosmetic and toilet articles,88
4776,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",Retail sale; in specialised stores,"flowers, plants, seeds, fertilisers, pet animals and pet food",12
4777,Retail sale of watches and jewellery in specialised stores,Retail sale; in specialised stores,watches and jewellery,29
4778,Other retail sale of new goods in specialised stores,Retail sale; in specialised stores,new goods,71
4779,Retail sale of second-hand goods in stores,Retail sale; in stores,secondhand goods,71
4781,"Retail sale via stalls and markets of food, beverages and tobacco products",Retail sale via stalls and markets of,"food, beverages and tobacco products",24
4782,"Retail sale via stalls and markets of textiles, clothing and footwear",Retail sale via stalls and markets of,"textiles, clothing and footwear",50
4789,Retail sale via stalls and markets of other goods,Retail sale via stalls and markets of,goods,71
4791,Retail sale via mail order houses or via Internet,Retail sale via stalls and markets of,retail sale via mail order houses or via internet,71
4799,"Other retail sale not in stores, stalls or markets",Retail sale,"not in stores, stalls or markets",79
4910,"Passenger rail transport, interurban",Activities,"passenger rail transport, interurban",14
4920,Freight rail transport,Activities,freight rail transport,58
4931,Urban and suburban passenger land transport,Activities,urban and suburban passenger land transport,37
4932,Taxi operation,Activities,taxi operation,72
4939,Other passenger land transport n.e.c.,Activities,passenger land transport,58
4941,Freight transport by road,Activities,freight transport by road,58
4942,Removal services,Activities,removal services,80
4950,Transport via pipeline,Activities,transport via pipeline,10
5010,Sea and coastal passenger water transport,Activities,sea and coastal passenger water transport,62
5020,Sea and coastal freight water transport,Activities,sea and coastal freight water transport,62
5030,Inland passenger water transport,Activities,inland passenger water transport,62
5040,Inland freight water transport,Activities,inland freight water transport,62
5110,Passenger air transport,Activities,passenger air transport,58
5121,Freight air transport,Activities,freight air transport,58
5122,Space transport,Activities,space transport,61
5210,Warehousing and storage,Activities,warehousing and storage,71
5221,Service activities incidental to land transportation,Service activities,incidental to land transportation,61
5222,Service activities incidental to water transportation,Service activities,incidental to water transportation,8
5223,Service activities incidental to air transportation,Service activities,incidental to air transportation,61
5224,Cargo handling,Activities,cargo handling,58
5229,Other transportation support activities,Support activities,transportation,58
5310,Postal activities under universal service obligation,Activities,postal  under universal service obligation,2
5320,Other postal and courier activities,Activities,postal and courier,39
5510,Hotels and similar accommodation,Activities,hotels and similar accommodation,11
5520,Holiday and other short-stay accommodation,Activities,holiday and  shortstay accommodation,11
5530,"Camping grounds, recreational vehicle parks and trailer parks",Activities,"camping grounds, recreational vehicle parks and trailer parks",11
5590,Other accommodation,Activities,accommodation,11
5610,Restaurants and mobile food service activities,Service activities,restaurants and mobile food,31
5621,Event catering activities,Activities,event catering,31
5629,Other food service activities,Service activities,food,31
5630,Beverage serving activities,Service activities,beverage serving activities,67
5811,Book publishing,Activities,book publishing,16
5812,Publishing of directories and mailing lists,Publishing of,directories and mailing lists,39
5813,Publishing of newspapers,Publishing of,newspapers,39
5814,Publishing of journals and periodicals,Publishing of,journals and periodicals,81
5819,Other publishing activities,publishing,activities,6
5821,Publishing of computer games,Publishing of,computer games,25
5829,Other software publishing,publishing,software,25
5911,"Motion picture, video and television programme production activities",Activities,"motion picture, video and television programme production",68
5912,"Motion picture, video and television programme post-production activities",Activities,"motion picture, video and television programme postproduction",68
5913,"Motion picture, video and television programme distribution activities",Activities,"motion picture, video and television programme distribution",68
5914,Motion picture projection activities,Activities,motion picture projection,1
5920,Sound recording and music publishing activities,publishing,sound recording and music  activities,1
6010,Radio broadcasting,Activities,radio broadcasting,1
6020,Television programming and broadcasting activities,Activities,television programming and broadcasting,68
6110,Wired telecommunications activities,Activities,wired telecommunications,53
6120,Wireless telecommunications activities,Activities,wireless telecommunications,53
6130,Satellite telecommunications activities,Activities,satellite telecommunications,53
6190,Other telecommunications activities,Activities,telecommunications,53
6201,Computer programming activities,Activities,computer programming,25
6202,Computer consultancy activities,Activities,computer consultancy,25
6203,Computer facilities management activities,Activities,computer facilities management,25
6209,Other information technology and computer service activities,Service activities,information technology and computer,25
6311,"Data processing, hosting and related activities",Activities,"data processing, hosting and related",72
6312,Web portals,Activities,web portals,72
6391,News agency activities,Activities,news agency,86
6399,Other information service activities n.e.c.,Service activities,information,6
6411,Central banking,Activities,central banking,35
6419,Other monetary intermediation,Activities,monetary intermediation,2
6420,Activities of holding companies,Activities,holding companies,35
6430,"Trusts, funds and similar financial entities",Activities,"trusts, funds and similar financial entities",35
6491,Financial leasing,Activities,financial leasing,35
6492,Other credit granting,Activities,credit granting,2
6499,"Other financial service activities, except insurance and pension funding, n.e.c.",Activities,"financial service ,",35
6511,Life insurance,Activities,life insurance,2
6512,Non-life insurance,Activities,nonlife insurance,2
6520,Reinsurance,Activities,reinsurance,6
6530,Pension funding,Activities,pension funding,2
6611,Administration of financial markets,Administration of,financial markets,35
6612,Security and commodity contracts brokerage,Activities,security and commodity contracts brokerage,35
6619,"Other activities auxiliary to financial services, except insurance and pension funding",Activities,"auxiliary to financial services,",2
6621,Risk and damage evaluation,evaluation,risk and damage,80
6622,Activities of insurance agents and brokers,Activities,insurance agents and brokers,35
6629,Other activities auxiliary to insurance and pension funding,Activities,auxiliary to insurance and pension funding,2
6630,Fund management activities,Activities,fund management,35
6810,Buying and selling of own real estate,Buying and selling of,own real estate,63
6820,Renting and operating of own or leased real estate,Renting and operating of,own or leased real estate,63
6831,Real estate agencies,Activities,real estate agencies,63
6832,Management of real estate on a fee or contract basis,Management of,real estate on a fee or contract basis,35
6910,Legal activities,Activities,legal,41
6920,"Accounting, bookkeeping and auditing activities; tax consultancy",Activities,"accounting, bookkeeping and auditing ; tax consultancy",2
7010,Activities of head offices,Activities,head offices,82
7021,Public relations and communication activities,Activities,public relations and communication,86
7022,Business and other management consultancy activities,Activities,business and  management consultancy,72
7111,Architectural activities,Activities,architectural,59
7112,Engineering activities and related technical consultancy,Activities,engineering  and related technical consultancy,85
7120,Technical testing and analysis,Activities,technical testing and analysis,85
7211,Research and experimental development on biotechnology,Research and experimental development on,biotechnology,64
7219,Other research and experimental development on natural sciences and engineering,Research and experimental development on,natural sciences and engineering,85
7220,Research and experimental development on social sciences and humanities,Research and experimental development on,social sciences and humanities,87
7311,Advertising agencies,Activities,advertising agencies,86
7312,Media representation,Activities,media representation,86
7320,Market research and public opinion polling,Activities,market research and public opinion polling,86
7410,Specialised design activities,Activities,specialised design,18
7420,Photographic activities,Activities,photographic,1
7430,Translation and interpretation activities,Activities,translation and interpretation,41
7490,"Other professional, scientific and technical activities n.e.c.",Activities,"professional, scientific and technical",85
7500,Veterinary activities,Activities,veterinary,4
7711,Renting and leasing of cars and light motor vehicles,Renting and leasing of,cars and light motor vehicles,15
7712,Renting and leasing of trucks,Renting and leasing of,trucks,37
7721,Renting and leasing of recreational and sports goods,Renting and leasing of,recreational and sports goods,71
7722,Renting of video tapes and disks,Renting of,video tapes and disks,1
7729,Renting and leasing of other personal and household goods,Renting and leasing of,personal and household goods,73
7731,Renting and leasing of agricultural machinery and equipment,Renting and leasing of,agricultural machinery and equipment,17
7732,Renting and leasing of construction and civil engineering machinery and equipment,Renting and leasing of,construction and civil engineering machinery and equipment,40
7733,Renting and leasing of office machinery and equipment (including computers),Renting and leasing of,fice machinery and equipment including computers,25
7734,Renting and leasing of water transport equipment,Renting and leasing of,water transport equipment,8
7735,Renting and leasing of air transport equipment,Renting and leasing of,air transport equipment,61
7739,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",Renting and leasing of,"machinery, equipment and tangible goods",52
7740,"Leasing of intellectual property and similar products, except copyrighted works",Leasing of,"intellectual property and similar products,",35
7810,Activities of employment placement agencies,Activities,employment placement agencies,9
7820,Temporary employment agency activities,Activities,temporary employment agency,9
7830,Other human resources provision,Renting and leasing of,human resources provision,4
7911,Travel agency activities,Renting and leasing of,travel agency activities,72
7912,Tour operator activities,Renting and leasing of,tour operator activities,72
7990,Other reservation service and related activities,Renting and leasing of,reservation service and related activities,11
8010,Private security activities,Renting and leasing of,private security activities,33
8020,Security systems service activities,Renting and leasing of,security systems service activities,6
8030,Investigation activities,Renting and leasing of,investigation activities,41
8110,Combined facilities support activities,Support activities,combined facilities,82
8121,General cleaning of buildings,Activities,general cleaning of buildings,77
8122,Other building and industrial cleaning activities,Activities,building and industrial cleaning,77
8129,Other cleaning activities,Activities,cleaning,77
8130,Landscape service activities,Service activities,landscape,21
8211,Combined office administrative service activities,Service activities,combined office administrative,82
8219,"Photocopying, document preparation and other specialised office support activities",Support activities,"photocopying, document preparation and  specialised office",82
8220,Activities of call centres,Activities,call centres,82
8230,Organisation of conventions and trade shows,Organisation of,conventions and trade shows,71
8291,Activities of collection agencies and credit bureaus,Activities,collection agencies and credit bureaus,2
8292,Packaging activities,Activities,packaging,16
8299,Other business support service activities n.e.c.,Activities,business support service,72
8411,General public administration activities,Activities,general public administration,5
8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",Regulation of,"the activities of providing health care, education, cultural services and  social services,",4
8413,Regulation of and contribution to more efficient operation of businesses,Regulation of,and contribution to more efficient operation of businesses,72
8421,Foreign affairs,Activities,foreign affairs,41
8422,Defence activities,Activities,defence,6
8423,Justice and judicial activities,Activities,justice and judicial,41
8424,Public order and safety activities,Activities,public order and safety,6
8425,Fire service activities,Activities,fire service,43
8430,Compulsory social security activities,Activities,compulsory social security,2
8510,Pre-primary education,Activities,preprimary education,5
8520,Primary education,Activities,primary education,5
8531,General secondary education,Activities,general secondary education,5
8532,Technical and vocational secondary education,Activities,technical and vocational secondary education,5
8541,Post-secondary non-tertiary education,Activities,postsecondary nontertiary education,5
8542,Tertiary education,Activities,tertiary education,5
8551,Sports and recreation education,Activities,sports and recreation education,69
8552,Cultural education,Activities,cultural education,87
8553,Driving school activities,Activities,driving school,15
8559,Other education n.e.c.,Activities,education,5
8560,Educational support activities,Activities,educational support,5
8610,Hospital activities,Activities,hospital,4
8621,General medical practice activities,Activities,general medical practice,4
8622,Specialist medical practice activities,Activities,specialist medical practice,4
8623,Dental practice activities,Activities,dental practice,4
8690,Other human health activities,Activities,human health,4
8710,Residential nursing care activities,Activities,residential nursing care,56
8720,"Residential care activities for learning disabilities, mental health and substance abuse",Activities,"residential care  for learning disabilities, mental health and substance abuse",56
8730,Residential care activities for the elderly and disabled,Activities,residential care  for the elderly and disabled,56
8790,Other residential care activities,Activities,residential care,56
8810,Social work activities without accommodation for the elderly and disabled,Activities,social work  without accommodation for the elderly and disabled,47
8891,Child day-care activities,Activities,child daycare,5
8899,Other social work activities without accommodation n.e.c.,Activities,social work  without accommodation,47
9001,Performing arts,Activities,performing arts,54
9002,Support activities to performing arts,Activities,support  to performing arts,54
9003,Artistic creation,Activities,artistic creation,54
9004,Operation of arts facilities,Operation of,arts facilities,54
9101,Library and archive activities,Activities,library and archive,87
9102,Museum activities,Activities,museum,87
9103,Operation of historical sites and buildings and similar visitor attractions,Operation of,historical sites and buildings and similar visitor attractions,11
9104,Botanical and zoological gardens and nature reserve activities,Activities,botanical and zoological gardens and nature reserve,21
9200,Gambling and betting activities,Activities,gambling and betting,2
9311,Operation of sports facilities,Activities,operation of sports facilities,69
9312,Activities of sport clubs,Activities,sport clubs,69
9313,Fitness facilities,Activities,fitness facilities,69
9319,Other sports activities,Activities,sports,69
9321,Activities of amusement parks and theme parks,Activities,amusement parks and theme parks,26
9329,Other amusement and recreation activities,Activities,amusement and recreation,26
9411,Activities of business and employers membership organisations,Activities,business and employers membership organisations,9
9412,Activities of professional membership organisations,Activities,professional membership organisations,9
9420,Activities of trade unions,Activities,trade unions,9
9491,Activities of religious organisations,Activities,religious organisations,33
9492,Activities of political organisations,Activities,political organisations,9
9499,Activities of other membership organisations n.e.c.,Activities,membership organisations,9
9511,Repair of computers and peripheral equipment,Repair of,computers and peripheral equipment,25
9512,Repair of communication equipment,Repair of,communication equipment,53
9521,Repair of consumer electronics,Repair of,consumer electronics,84
9522,Repair of household appliances and home and garden equipment,Repair of,household appliances and home and garden equipment,74
9523,Repair of footwear and leather goods,Repair of,footwear and leather goods,27
9524,Repair of furniture and home furnishings,Repair of,furniture and home furnishings,74
9525,"Repair of watches, clocks and jewellery",Repair of,"watches, clocks and jewellery",29
9529,Repair of other personal and household goods,Repair of,personal and household goods,73
9601,Washing and (dry-)cleaning of textile and fur products,Activities,washing and drycleaning of textile and fur products,77
9602,Hairdressing and other beauty treatment,Activities,hairdressing and  beauty treatment,13
9603,Funeral and related activities,Activities,funeral and related,11
9604,Physical well-being activities,Activities,physical wellbeing,6
9609,Other personal service activities n.e.c.,Service activities,personal,33
9700,Activities of households as employers of domestic personnel,Activities,households as employers of domestic personnel,73
9810,Undifferentiated goods-producing activities of private households for own use,Activities,undifferentiated goodsproducing  private households for own use,47
9820,Undifferentiated service-producing activities of private households for own use,Activities,undifferentiated serviceproducing  private households for own use,47
9900,Activities of extraterritorial organisations and bodies,Activities,extraterritorial organisations and bodies,37
